number of people displaced,specific_group,From,To,"specific group, From, To",Source (Extracted from text),text,document title,primary_country,date_posted,format,url
98000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), N/A    ,"Combined, the number of internally displaced persons (IDPs) and those who have fled to other countries amount to around 9.8 million people – more than 23 per cent of the country’s population.",Ukraine: Humanitarian Impact Situation Report (As of 3:00 p.m. (EET) on 18 March 2022) [EN/RU/UK],['Ukraine'],2022-03-18,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-humanitarian-impact-situation-report-300-pm-eet-18-march-2022-enruuk
98000000,total population,not specified,not specified,total population, UNHCR  ,"Combined, the number of internally displaced persons (IDPs) and those who have fled to other countries amount to around 9.8 million people – more than 23 per cent of the country’s population.",Ukraine: Humanitarian Impact Situation Report (As of 3:00 p.m. (EET) on 18 March 2022) [EN/RU/UK],['Ukraine'],2022-03-18,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-humanitarian-impact-situation-report-300-pm-eet-18-march-2022-enruuk
6480000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), IOM survey             ,"The methodology and results of the survey were reviewed by the Protection Cluster, OCHA, UNHCR and REACH, and the group agreed that IOM’s survey provided a credible population figure for internally displaced persons (IDPs) in Ukraine, which is now estimated at 6.48 million, adding to the almost 3.3 million and counting who have fled the country since 24 February, according to UNHCR.",Ukraine: Humanitarian Impact Situation Report (As of 3:00 p.m. (EET) on 18 March 2022) [EN/RU/UK],['Ukraine'],2022-03-18,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-humanitarian-impact-situation-report-300-pm-eet-18-march-2022-enruuk
6480000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), IOM estimates ,IOM estimates that the war has already resulted in the internal displacement of around 6.48 million people.,"IOM Regional Ukraine Response - Situation Report #9, 21 March 2022",['Ukraine'],2022-03-22,['Situation Report'],https://reliefweb.int/report/ukraine/iom-regional-ukraine-response-situation-report-9-21-march-2022
15000000,children,not specified,not specified,children,         UNICEF        ,"Since 24 February, UNICEF says more than 1.5 million children have fled Ukraine – 75,000 children per day on average.",Ukraine: Humanitarian Impact Situation Report (As of 3:00 p.m. (EET) on 16 March 2022) [EN/RU/UK],['Ukraine'],2022-03-16,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-humanitarian-impact-situation-report-300-pm-eet-16-march-2022-enruuk
31000000,refugees,not specified,not specified,refugees, - ,EVENT HIGHLIGHTS 18 million: AFFECTED POPULATION (projected) 3.1 million REFUGEES 1.9 million INTERNALLY DISPLACED 1 252 CIVILIAN INJURIES 780 CIVILIAN DEATHS 2.,"Emergency in Ukraine: External Situation Report #3, published 17 March 2022",['Ukraine'],2022-03-17,['Situation Report'],https://reliefweb.int/report/ukraine/emergency-ukraine-external-situation-report-3-published-17-march-2022
19000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), - ,EVENT HIGHLIGHTS 18 million: AFFECTED POPULATION (projected) 3.1 million REFUGEES 1.9 million INTERNALLY DISPLACED 1 252 CIVILIAN INJURIES 780 CIVILIAN DEATHS 2.,"Emergency in Ukraine: External Situation Report #3, published 17 March 2022",['Ukraine'],2022-03-17,['Situation Report'],https://reliefweb.int/report/ukraine/emergency-ukraine-external-situation-report-3-published-17-march-2022
1800000,refugees,not specified,poland,refugees to poland, United Nations High Commissioner for Refugees (UNHCR) ,"According to the latest government data compiled by the United Nations High Commissioner for Refugees (UNHCR), over three million refugees have now left Ukraine for surrounding countries, with over 60% of them in Poland.","Emergency in Ukraine: External Situation Report #3, published 17 March 2022",['Ukraine'],2022-03-17,['Situation Report'],https://reliefweb.int/report/ukraine/emergency-ukraine-external-situation-report-3-published-17-march-2022
3000000,refugees,not specified,not specified,refugees, article ,"In less than three weeks, some 3 million refugees have been forced to flee Ukraine, while an additional 1.85 million people have been displaced internally within the country.",Ukraine Situation Flash Update #3 (15 March 2022),['Ukraine'],2022-03-15,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-3-15-march-2022
185000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), article ,"In less than three weeks, some 3 million refugees have been forced to flee Ukraine, while an additional 1.85 million people have been displaced internally within the country.",Ukraine Situation Flash Update #3 (15 March 2022),['Ukraine'],2022-03-15,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-3-15-march-2022
185000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), Protection Cluster     ,"Providing exact figures on internal displacement is not possible, however as of March 11th, the Protection Cluster estimates that there are 1.85 million internally displaced and rising, 12.",Shelter Cluster Ukraine Emergency Situation Report # 1,['Ukraine'],2022-03-16,['Situation Report'],https://reliefweb.int/report/ukraine/shelter-cluster-ukraine-emergency-situation-report-1
19000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), Protection Cluster ,"According to the protection cluster, around 1.9 million became internally displaced.","WFP Ukraine and Neighbouring Countries Situation Report #5, 14 March 2022",['Ukraine'],2022-03-15,['Situation Report'],https://reliefweb.int/report/ukraine/wfp-ukraine-and-neighbouring-countries-situation-report-5-14-march-2022
190000,total population,not specified,not specified,total population, Ukrainian governmental authorities ,"So far, the Ukrainian governmental authorities have reportedly facilitated the evacuation of over 190,000 persons, while millions more have fled the hardest-hit locations towards western parts of the country and abroad on their own.",Ukraine: Humanitarian Impact Situation Report (As of 12:00 p.m. (EET) on 23 March 2022) [EN/RU/UK],['Ukraine'],2022-03-24,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-humanitarian-impact-situation-report-1200-pm-eet-23-march-2022
6480000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), IOM (International Organization for Migration) ,"The results of the survey were presented to the Protection Cluster, UNHCR, REACH and OCHA, and after a collective review of the methodology and findings, the group agreed that the figures provided by IOM are a good representation of the scale of internal displacement in Ukraine – calculated to stand at 6.48 million internally displaced persons in Ukraine as of March 16th.",Update on IDP Figures in Ukraine 18 March 2022 [EN/UK],['Ukraine'],2022-03-18,['Situation Report'],https://reliefweb.int/report/ukraine/update-idp-figures-ukraine-18-march-2022-enuk
2000000,refugees,not specified,neighbouring countries,refugees to neighbouring countries, Not specified ,"In the space of just 12 days, more than 2 million refugees have been forced to flee to neighbouring countries, while an additional estimated 1 million people have been displaced internally within Ukraine.",Ukraine Situation Flash Update #1 (8 March 2022),['Ukraine'],2022-03-08,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-1-8-march-2022
1000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), Not specified ,"In the space of just 12 days, more than 2 million refugees have been forced to flee to neighbouring countries, while an additional estimated 1 million people have been displaced internally within Ukraine.",Ukraine Situation Flash Update #1 (8 March 2022),['Ukraine'],2022-03-08,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-1-8-march-2022
12000000,refugees,not specified,not specified,refugees, Event Highlights ,EVENT HIGHLIGHTS 18 million AFFECTED POPULATION 1.2 million REFUGEES 160 000 INTERNALLY DISPLACED 553 CIVILIAN INJURIES 249 CIVILIAN DEATHS Priority public health concerns Conflict related trauma and injuries exacerbated by lack of access to health facilities by patients and health staff due to insecurity and lack of access to lifesaving medicine and supplies.,"Emergency in Ukraine: External Situation Report #1, published 5 March 2022",['Ukraine'],2022-03-05,['Situation Report'],https://reliefweb.int/report/ukraine/emergency-ukraine-external-situation-report-1-published-5-march-2022
160000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), Event Highlights ,EVENT HIGHLIGHTS 18 million AFFECTED POPULATION 1.2 million REFUGEES 160 000 INTERNALLY DISPLACED 553 CIVILIAN INJURIES 249 CIVILIAN DEATHS Priority public health concerns Conflict related trauma and injuries exacerbated by lack of access to health facilities by patients and health staff due to insecurity and lack of access to lifesaving medicine and supplies.,"Emergency in Ukraine: External Situation Report #1, published 5 March 2022",['Ukraine'],2022-03-05,['Situation Report'],https://reliefweb.int/report/ukraine/emergency-ukraine-external-situation-report-1-published-5-march-2022
23000000,refugees,not specified,other countries,refugees to other countries, UN High Commissioner for Refugees ,"This includes 2.3 million refugees who have fled to other countries, as reported by the UN High Commissioner for Refugees, and an estimated 1.85 million people internally displaced, according to the Ukraine Protection Cluster.","Ukraine: Humanitarian Impact Situation Report (As of 3:00 p.m. (EET), 10 March 2022)",['Ukraine'],2022-03-10,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-humanitarian-impact-situation-report-300-pm-eet-10-march-2022
185000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), Ukraine Protection Cluster ,"This includes 2.3 million refugees who have fled to other countries, as reported by the UN High Commissioner for Refugees, and an estimated 1.85 million people internally displaced, according to the Ukraine Protection Cluster.","Ukraine: Humanitarian Impact Situation Report (As of 3:00 p.m. (EET), 10 March 2022)",['Ukraine'],2022-03-10,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-humanitarian-impact-situation-report-300-pm-eet-10-march-2022
100000,total population,not specified,not specified,total population, Government of Ukraine ,"As reported by the Government of Ukraine, more than 100,000 people have been evacuated in recent days.","Ukraine: Humanitarian Impact Situation Report (As of 3:00 p.m. (EET), 11 March 2022)",['Ukraine'],2022-03-11,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-humanitarian-impact-situation-report-300-pm-eet-11-march-2022
