Number of Buildings Mentioned,What Happened,Type of Building,housing sector losses reported,text,primary_country,date_posted,format,url,NER_extracted_geolocation
-------------------,--------------------,------------------,--------------------------------,"The number of affected families from this earthquake is over 11,000 families who are now homeless.",Syria,2023-02-22 22:02:52+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/humanitarian-situation-north-west-syria-following-devastating-earthquake-situation-report-v13-18-february-2023-enar,
"      11,000       ",       Homeless      ,     Household    ,          Not reported          ,"The number of affected families from this earthquake is over 11,000 families who are now homeless.",Syria,2023-02-22 22:02:52+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/humanitarian-situation-north-west-syria-following-devastating-earthquake-situation-report-v13-18-february-2023-enar,
--------------------,----------------,---------------,-----------------------,"In addition to tent city areas which were established at 270 points in provinces hit very hard by the earthquake, AFAD also meets people’s demands for tents.",Türkiye,2023-02-22 15:11:51+00:00,News and Press Release,https://reliefweb.int/report/turkiye/300-thousand-809-tents-have-been-installed-afad-earthquake-zone-entr,
 270                , -              , Tent City      , -                     ,"In addition to tent city areas which were established at 270 points in provinces hit very hard by the earthquake, AFAD also meets people’s demands for tents.",Türkiye,2023-02-22 15:11:51+00:00,News and Press Release,https://reliefweb.int/report/turkiye/300-thousand-809-tents-have-been-installed-afad-earthquake-zone-entr,
:------------------:,:----------------------------:,:----------------:,:------------------------------:,"We are now reluctant to be inside any house.” “If you ask me now to live in a palace, I would definitely say no, I can’t,” Lucy, who said he hasn’t slept in the 10 days since the earthquake, added.",Syria,2023-02-22 11:14:47+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/syrian-children-now-too-frightened-sleep-indoors-new-64-earthquake-strikes,
         1          ,           Not Mentioned      ,      Palace      ,           Not Mentioned        ,"We are now reluctant to be inside any house.” “If you ask me now to live in a palace, I would definitely say no, I can’t,” Lucy, who said he hasn’t slept in the 10 days since the earthquake, added.",Syria,2023-02-22 11:14:47+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/syrian-children-now-too-frightened-sleep-indoors-new-64-earthquake-strikes,
         0          ,           Not Mentioned      ,      House       ,           Not Mentioned        ,"We are now reluctant to be inside any house.” “If you ask me now to live in a palace, I would definitely say no, I can’t,” Lucy, who said he hasn’t slept in the 10 days since the earthquake, added.",Syria,2023-02-22 11:14:47+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/syrian-children-now-too-frightened-sleep-indoors-new-64-earthquake-strikes,
         0          ,           Not Mentioned      ,     Residence    ,           Not Mentioned        ,"We are now reluctant to be inside any house.” “If you ask me now to live in a palace, I would definitely say no, I can’t,” Lucy, who said he hasn’t slept in the 10 days since the earthquake, added.",Syria,2023-02-22 11:14:47+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/syrian-children-now-too-frightened-sleep-indoors-new-64-earthquake-strikes,
         0          ,           Not Mentioned      ,    Household     ,           Not Mentioned        ,"We are now reluctant to be inside any house.” “If you ask me now to live in a palace, I would definitely say no, I can’t,” Lucy, who said he hasn’t slept in the 10 days since the earthquake, added.",Syria,2023-02-22 11:14:47+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/syrian-children-now-too-frightened-sleep-indoors-new-64-earthquake-strikes,
---------------------,-----------------------,------------------,--------------------------------,"The government of Turkey currently estimates that 384,500 housing units have been destroyed.",Türkiye,2023-02-21 22:48:47+00:00,Situation Report,https://reliefweb.int/report/turkiye/situation-report-feb-20-2023-0000-data-last-updated-feb-20-2023-0800,
"       384,500       ",        Destroyed      ,     Household    ,             Unknown            ,"The government of Turkey currently estimates that 384,500 housing units have been destroyed.",Türkiye,2023-02-21 22:48:47+00:00,Situation Report,https://reliefweb.int/report/turkiye/situation-report-feb-20-2023-0000-data-last-updated-feb-20-2023-0800,
 --- , --- , --- , --- ,"According to the Turkish Disaster and Emergency Management Authority (AFAD) and recent UN Flash Appeal, more than 9.1 million people have been affected in 11 provinces in Türkiye and more than 47,000 buildings have been destroyed or damaged.",Türkiye,2023-02-21 18:23:47+00:00,Situation Report,https://reliefweb.int/report/turkiye/situation-report-earthquakes-turkiye-february-20-2023-no1,Türkiye
" 47,000 ", Destroyed/Damaged , Household/Residence , Not Reported ,"According to the Turkish Disaster and Emergency Management Authority (AFAD) and recent UN Flash Appeal, more than 9.1 million people have been affected in 11 provinces in Türkiye and more than 47,000 buildings have been destroyed or damaged.",Türkiye,2023-02-21 18:23:47+00:00,Situation Report,https://reliefweb.int/report/turkiye/situation-report-earthquakes-turkiye-february-20-2023-no1,Türkiye
 --- , --- , --- , --- ,"As the death toll from the 6 February earthquake disaster topped 41,000 in Türkiye, UN development experts said on Tuesday that 1.5 million people have been made homeless in the south of the country, where at least 500,000 new homes will need to be built.",Türkiye,2023-02-21 17:35:04+00:00,News and Press Release,https://reliefweb.int/report/turkiye/15-million-now-homeless-turkiye-after-quake-disaster-warn-un-development-experts,Türkiye
 No information provided , No information provided , Household and Residence ," 500,000 new homes needed ","As the death toll from the 6 February earthquake disaster topped 41,000 in Türkiye, UN development experts said on Tuesday that 1.5 million people have been made homeless in the south of the country, where at least 500,000 new homes will need to be built.",Türkiye,2023-02-21 17:35:04+00:00,News and Press Release,https://reliefweb.int/report/turkiye/15-million-now-homeless-turkiye-after-quake-disaster-warn-un-development-experts,Türkiye
,,,,"As the death toll from the 6 February earthquake disaster topped 41,000 in Türkiye, UN development experts said on Tuesday that 1.5 million people have been made homeless in the south of the country, where at least 500,000 new homes will need to be built.",Türkiye,2023-02-21 17:35:04+00:00,News and Press Release,https://reliefweb.int/report/turkiye/15-million-now-homeless-turkiye-after-quake-disaster-warn-un-development-experts,Türkiye
 --- , --- , --- , --- ,"After the latest earthquakes on February 20, AFAD reported that six people lost their lives, at least 294 people were injured, 18 of which severely, and ten buildings collapsed.",Türkiye,2023-02-21 19:09:49+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-2023-earthquakes-situation-report-no-3-21-february-2023,
 10 , Collapsed , Not mentioned , Not mentioned ,"After the latest earthquakes on February 20, AFAD reported that six people lost their lives, at least 294 people were injured, 18 of which severely, and ten buildings collapsed.",Türkiye,2023-02-21 19:09:49+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-2023-earthquakes-situation-report-no-3-21-february-2023,
 6 , - , - , - ,"After the latest earthquakes on February 20, AFAD reported that six people lost their lives, at least 294 people were injured, 18 of which severely, and ten buildings collapsed.",Türkiye,2023-02-21 19:09:49+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-2023-earthquakes-situation-report-no-3-21-february-2023,
 294 , - , - , - ,"After the latest earthquakes on February 20, AFAD reported that six people lost their lives, at least 294 people were injured, 18 of which severely, and ten buildings collapsed.",Türkiye,2023-02-21 19:09:49+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-2023-earthquakes-situation-report-no-3-21-february-2023,
 18 , Severe Injuries , - , - ,"After the latest earthquakes on February 20, AFAD reported that six people lost their lives, at least 294 people were injured, 18 of which severely, and ten buildings collapsed.",Türkiye,2023-02-21 19:09:49+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-2023-earthquakes-situation-report-no-3-21-february-2023,
---------------------,----------------,------------------,--------------------------------,"• Restrictions on the freedom of movement were imposed by shelter managers on IDPs living in temporary shelters, according to 16% of KIs.",Syria,2023-02-21 10:53:32+00:00,Assessment,https://reliefweb.int/report/syrian-arab-republic/rapid-protection-assessment-findings-syria-earthquake-february-2023-protection-sector-report,
          0          ,      N/A       ,       N/A        ,                N/A             ,"• Restrictions on the freedom of movement were imposed by shelter managers on IDPs living in temporary shelters, according to 16% of KIs.",Syria,2023-02-21 10:53:32+00:00,Assessment,https://reliefweb.int/report/syrian-arab-republic/rapid-protection-assessment-findings-syria-earthquake-february-2023-protection-sector-report,
,,,,"• Restrictions on the freedom of movement were imposed by shelter managers on IDPs living in temporary shelters, according to 16% of KIs.",Syria,2023-02-21 10:53:32+00:00,Assessment,https://reliefweb.int/report/syrian-arab-republic/rapid-protection-assessment-findings-syria-earthquake-february-2023-protection-sector-report,
